Regulator	Target
FOXM1	TPX2
FOXM1	TROAP
FOXM1	TUBA1B
FOXM1	TUBB
FOXM1	TYMS
FOXM1	UBE2C
FOXM1	UBE2T
GATA2	C1QTNF4
GATA2	CRHBP
GATA2	FTH1
GATA2	IGLL1
HLF	AVP
HLF	IGLL1
HLF	MEG3
HLF	TCEAL2
HLF	TPT1
IRF8	BLNK
IRF8	CEBPD
IRF8	CSF1R
IRF8	CXorf21
IRF8	DNTT
IRF8	EEF1A1
IRF8	FAM107B
IRF8	LGALS1
IRF8	LY86
IRF8	MPO
IRF8	MS4A6A
IRF8	RNASE6
IRF8	SAMHD1
IRF8	SERPINB8
JUN	DUSP1
JUN	FOS
JUN	FOSB
JUN	MALAT1
JUNB	EGR1
JUND	DUSP1
JUND	FOS
KLF6	ANKRD28
KLF6	C16orf54
KLF6	DUSP1
KLF6	FOS
KLF6	FOSB
KLF6	IDS
KLF6	MCL1
KLF6	MYADM
KLF6	PPP1R15A
KLF6	TSC22D3
KLF6	TUBA1A
KLF6	VIM
LYL1	FTH1
LYL1	NPM1
LYL1	TUBA1B
LYL1	ZFAS1
MYBL2	ASF1B
MYBL2	ATAD2
MYBL2	BRCA2
MYBL2	CDC45
MYBL2	CDC6
MYBL2	CDCA5
MYBL2	CENPM
MYBL2	CENPU
MYBL2	CLSPN
MYBL2	CTNNAL1
MYBL2	DHFR
MYBL2	DNAJC9
MYBL2	DTL
MYBL2	DUT
MYBL2	E2F1
MYBL2	ESCO2
MYBL2	FAM111B
MYBL2	FANCD2
MYBL2	FEN1
MYBL2	GGH
MYBL2	GINS2
MYBL2	H2AFZ
MYBL2	HELLS
MYBL2	HIST1H1B
MYBL2	HMGB2
MYBL2	LIG1
MYBL2	MCM10
MYBL2	MKI67
MYBL2	MND1
MYBL2	NPM1
MYBL2	NUSAP1
MYBL2	ORC6
MYBL2	PCNA
MYBL2	PKMYT1
MYBL2	RAD51
MYBL2	RAD51AP1
MYBL2	RNASEH2A
MYBL2	RRM1
MYBL2	RRM2
MYBL2	SKA3
MYBL2	SMC2
MYBL2	SPC25
MYBL2	STMN1
MYBL2	TCF19
MYBL2	TK1
MYBL2	TMEM106C
MYBL2	TUBA1B
MYBL2	TUBB
MYBL2	TYMS
MYBL2	UBE2T
MYBL2	ZWINT
MYC	AVP
MYC	CPA3
MYC	FTH1
MYC	IDS
MYC	IGLL1
MYC	MPO
MYC	PRSS57
MYC	TSC22D3
NFIA	IGLL1
NR4A2	FOSB
PBX1	C1QTNF4
PBX1	CD164
PBX1	CRHBP
PBX1	FCER1A
PBX1	FTH1
PBX1	IGLL1
PBX1	LIMS1
PBX1	MLLT3
SOX4	H3F3B
TCF4	DNTT
